"output","factor","mu","mu_star","sigma"
"recruit_rate","weibull_lambda",-0.0284583073691963,0.0284583073691963,0.0213251987029507
"recruit_rate","senescence_dose_response__max_effect",0.029490728356802,0.029490728356802,0.0278947141020151
"recruit_rate","senescence_dose_response__half_sat",-0.0190844304144311,0.020550629023657,0.0218308294636851
"recruit_rate","juv_decline_dose_response__max_effect",0.0210994868294328,0.0218878130996139,0.0255378888062496
"recruit_rate","juv_decline_age_half_sat",0.0397433315504621,0.0400395656549407,0.0449768397853513
"recruit_rate","shade_dose_response__max_effect",-0.00827595444891392,0.00827595444891392,0.0132433012303126
"recruit_rate","shade_dose_response__half_sat",0.00843296387518126,0.00908107980758264,0.0140521557579223
"recruit_rate","R_max",0.046393921341757,0.046393921341757,0.0392922352342428
"recruit_rate","K_half",-0.0249180733138053,0.0249180733138053,0.0232729423468101
"recruit_rate","age_first_flower_mean",0.0206587575322878,0.0315289263679806,0.0433948332120669
"births_mean","weibull_lambda",62.08,108.397333333333,138.638678956935
"births_mean","senescence_dose_response__max_effect",-71.6786666666667,94.516,111.700046283111
"births_mean","senescence_dose_response__half_sat",13.194962962963,48.3757037037037,86.368748084631
"births_mean","juv_decline_dose_response__max_effect",-33.6,69.3733333333333,137.122902792259
"births_mean","juv_decline_age_half_sat",10.7186666666667,102.196,182.046981348254
"births_mean","shade_dose_response__max_effect",-317.572,317.58,341.279200913133
"births_mean","shade_dose_response__half_sat",201.668331648129,201.668331648129,205.076986086989
"births_mean","R_max",1011.81124637681,1011.81124637681,339.249976139651
"births_mean","K_half",-363.974666666667,363.974666666667,349.43947898286
"births_mean","age_first_flower_mean",-34.868,150.921333333333,235.26272473469
"extinction","weibull_lambda",0,0,0
"extinction","senescence_dose_response__max_effect",0,0,0
"extinction","senescence_dose_response__half_sat",-0.0666666666666667,0.0666666666666667,0.298142396999972
"extinction","juv_decline_dose_response__max_effect",0,0,0
"extinction","juv_decline_age_half_sat",-0.0666666666666667,0.0666666666666667,0.298142396999972
"extinction","shade_dose_response__max_effect",0,0,0
"extinction","shade_dose_response__half_sat",0,0,0
"extinction","R_max",-0.0666666666666667,0.0666666666666667,0.298142396999972
"extinction","K_half",0.133333333333333,0.133333333333333,0.410391340834062
"extinction","age_first_flower_mean",0.0666666666666667,0.0666666666666667,0.298142396999972
