"run_index","weibull_lambda","senescence_dose_response__max_effect","senescence_dose_response__half_sat","juv_decline_dose_response__max_effect","juv_decline_age_half_sat","shade_dose_response__max_effect","shade_dose_response__half_sat","R_max","K_half","age_first_flower_mean","N_alive_mean","N_alive_cv","N_alive_trend","N_IUCN_mean","adult_frac_mean","adult_frac_final","juv_age_mean","adult_age_mean","recruit_rate","births_mean","extinction"
48,120,0.6,60,0.3,2.75,0.95,500,575,1150,4.75,2450.94,0.0197085529286598,2.50175270108043,2081,0.849044750266167,0.865066225165563,2.06441717791411,21.2875598086124,0.0359968860477178,88.22,0
49,120,0.15,60,0.3,2.75,0.95,500,575,1150,4.75,2934.44,0.00929937283446249,-0.133013205282125,2592.1,0.883339438012854,0.887659868648462,1.86769230769231,27.9863707165109,0.0281208630612501,82.52,0
50,120,0.15,60,0.3,2.75,0.95,6125,575,1150,4.75,7538.36,0.00818142288139106,-2.53685474189677,6611.12,0.877007853231378,0.87813044060533,1.84835164835165,28.1560164709471,0.0327905708182129,247.2,0
51,45,0.15,60,0.3,2.75,0.95,6125,575,1150,4.75,6160.04,0.00698844081952619,1.0660264105642,5164.9,0.838466056921995,0.836437908496732,1.83516483516484,24.5528423520219,0.0433462574323235,267.04,0
52,45,0.15,60,0.3,2.75,0.95,6125,575,4000,4.75,4332.76,0.00779891086489918,-1.7483793517407,3647.52,0.84185057832472,0.837557603686636,1.90070921985816,24.0387895460798,0.0409485416218941,177.42,0
53,45,0.15,60,0.3,2.75,0.95,6125,2000,4000,4.75,12126.12,0.00424407234662518,-1.56840336134454,10090.22,0.832106387264854,0.829510891903,1.85004821600771,24.3948072539887,0.0481217619516287,583.52,0
54,45,0.15,60,0.3,2.75,0.4625,6125,2000,4000,4.75,20384.86,0.00433240803503698,-4.2426410564225,16884.16,0.828271347509142,0.828177672020623,1.70975187536065,24.3851310906261,0.0521191371601124,1062.46,0
55,45,0.15,26.25,0.3,2.75,0.4625,6125,2000,4000,4.75,14715.42,0.00796226892741102,7.19274909963987,11146.52,0.757477848808767,0.758801397473797,1.78189415041783,16.0973083052948,0.0706848998365172,1040.14,0
56,120,0.45,48.75,0.3,2.75,0.7875,500,100,200,10,1134.56,0.0267520340598704,0.289267707082825,763.76,0.673138450043157,0.652057245080501,4.80719794344473,22.9012345679012,0.0357135725639325,40.5,0
57,120,0.45,48.75,0.3,2.75,0.7875,500,100,200,4.75,1112.78,0.0196291599055507,-0.679423769507803,936.8,0.841853749916984,0.833022388059702,2.3854748603352,19.7043673012318,0.0350680118089962,39.04,0
58,45,0.45,48.75,0.3,2.75,0.7875,500,100,200,4.75,948.7,0.0201625304915733,1.0241056422569,766.36,0.807755718217335,0.79768177028451,1.85416666666667,18.5019815059445,0.0441249339928883,41.86,0
59,45,0.45,48.75,0.3,2.75,0.7875,6125,100,200,4.75,1586.4,0.0326141840767647,3.16100840336135,1267.02,0.798737396409472,0.805357142857143,1.96941896024465,17.3821138211382,0.0475500595075616,75.46,0
60,45,0.45,15,0.3,2.75,0.7875,6125,100,200,4.75,798.8,0.0240311567812302,0.838799519807923,497.96,0.623372444247075,0.614921780986763,1.78125,9.43444227005871,0.0862264764328234,68.88,0
61,45,0.45,15,0.3,2.75,0.3,6125,100,200,4.75,807.56,0.0290839074649243,-0.869147659063625,506.7,0.627410951854244,0.620871862615588,2.00348432055749,8.96170212765957,0.0851512541045042,68.78,0
62,45,0.45,15,0.8175,2.75,0.3,6125,100,200,4.75,743.12,0.0405225901238548,-1.88552220888355,458.34,0.616956406631647,0.609550561797753,1.83453237410072,9.20276497695852,0.0909013530543778,67.6,0
63,45,0.45,15,0.8175,2.75,0.3,6125,100,3050,4.75,10,1.16758952809729,-0.685522208883553,8.22,0.828498969922739,NA,NA,NA,0.0378220700352279,0.34,1
64,45,0.45,15,0.8175,2.75,0.3,6125,1525,3050,4.75,4777.3,0.0117724371599651,-0.274045618247296,2732.4,0.571962415597605,0.577810713529536,1.64844533600802,9.14437522902162,0.137224519990258,655.58,0
65,45,0,15,0.8175,2.75,0.3,6125,1525,3050,4.75,12221.86,0.00547822877507636,2.97032412965183,10189.92,0.83374715650314,0.831538587045195,1.23825665859564,48.0924163641715,0.0782530840241973,956.44,0
66,45,0,15,0.8175,8,0.3,6125,1525,3050,4.75,8897.14,0.00610604130923207,1.25267707082836,7017.02,0.788684485458776,0.789526913136307,0.93806727175654,46.9847708511244,0.100004844450558,889.78,0
67,45,0,15,0.4725,6.25,0.3,2375,1525,1150,3,23634.2,0.00347348454210057,1.02405762304922,21627.7,0.91510395236695,0.915397343968773,0.722668004012036,45.3324681344148,0.0446228986312971,1054.66,0
